site,a,a_se,b,b_se,c,c_se,d,d_se,e,e_se,f,f_se,r2_width,r2_vel,r2_depth,prod_coefs,sum_coefs
ARIK,8.55673760342253,0.1260446495087,0.107810078054092,0.0304793071894803,0.383796457442814,0.0684211703323282,0.173174253349679,0.0146451748548242,0.668737485906496,0.0935306429438291,0.717540968487908,0.0200197192410389,0.377283480183549,0.902293513257868,0.499680819381931,0.827175362426908,0.998525299891679
BIGC,4.75205867778011,0.0229594078187076,0.0670159837629656,0.00729232783602967,0.258074575562912,0.0667307596585929,0.0822287507329708,0.019559240805032,0.484537977538467,0.0751151401976525,0.689758962459954,0.0220167599281996,0.762459061001133,0.899953606577951,0.132679008156479,1.52962054756328,0.839003696955891
BLDE,4.27238871349785,0.0381375892442827,0.13511406421417,0.018564066213572,0.301661382124862,0.0150695275792213,0.252204644289142,0.00780711346481722,0.643863973795621,0.0187159549043331,0.635504999169061,0.00969622854946071,0.764612558599723,0.982836284714788,0.932890627989592,0.766223160025516,1.02282370767237
BLUE,22.2618223554775,0.00877339350124908,0.0353315225681996,0.00990101094130331,0.448554469762526,0.038071900059928,0.0925256115987288,0.0433934807105787,0.109213095193266,0.0319386570765032,0.818070314971042,0.0364029506693775,0.408366866138365,0.87197662351411,0.0457335612621651,5.50879058782295,0.94592744913797
CARI,3.3997987466385,0.0530729795385538,0.11798106242681,0.0419912649064711,0.417798234702174,0.0283888787793715,0.503946843882581,0.0242864801808038,0.69984324331062,0.0277015770027871,0.496894888009974,0.0236984984889246,0.192069441349689,0.814343824680451,0.811166326932858,0.381170349246685,1.11882279431937
COMO,2.85701834111432,0.0436470667784703,0.103634959393907,0.00927926852974978,0.348005513960291,0.0570684030285825,0.253716003342991,0.0132075047140352,0.911101967572039,0.0765891584920204,0.608660886912676,0.0177252493173976,0.769806108647259,0.891760304858782,0.720169494855429,0.103162760590067,0.966011849649574
CUPE,6.86814411429545,0.0433146162695762,0.125682102486085,0.014764752091259,0.229800261736354,0.0769372084032448,0.109590607392655,0.0260399009834764,0.742824445813083,0.10624764348952,0.672998718316461,0.0359602092877355,0.66498966184801,0.691244871614035,0.096762326921463,0.84241182342492,0.908271428195201
GUIL,6.91009151140253,0.0593938654049574,0.110203378264464,0.0302719776812551,0.436032253688984,0.0810101368305221,0.302855760605188,0.0408962926904741,0.359314009938144,0.193837940641578,0.502700629665314,0.0978550767242991,0.248773945041797,0.149014960020275,0.270773409739431,1.64224991306192,0.915759768534966
HOPB,6.63123381651114,0.0427949142938044,0.103125487067703,0.0155436790021204,0.335189465033508,0.0534714347887266,0.171897337207253,0.0180552936297092,0.510731909419132,0.0411896420689216,0.688006304669415,0.0139081938795066,0.589139027945972,0.951011894664993,0.415698075237486,1.38940313109458,0.963029128944371
KING,6.79799745173154,0.042059442442427,0.134443744668685,0.0135674928085897,0.329035599939672,0.11987818333701,0.136551856256921,0.0258706343642813,0.70862828566641,0.202353507909263,0.864526719891227,0.04366944401162,0.88202553029477,0.839029434331159,0.263695244047315,0.733796835131139,1.13552232081683
LECO,7.91015995616511,0.0262262550128937,0.0822314993648551,0.00924526974878731,0.153240146871717,0.169609112334159,-0.228498329622759,0.0708444125575736,0.0650398456167148,0.219776948086224,-0.624251031138316,0.0917991289889508,0.661335716449976,0.235340827315359,0.0601197909228603,10.6012497560642,-0.770517861396219
